user,comment,like
pradanaiman,"Mohon maaf ya dokter tirta, bukannya gk percaya covid. Tp tetangga saya di gigit ular terus di bawa kerumah sakit meninggal, kok di bilang covid ya? Menurut anda gmna ya dok? Apa ularnya yg gigit itu kena covid duluan, akhirnya kasihan loh keluarganya di kucilkan skarang. Matur nuwun",176
ciko.citra,"Berbeda pendapat itu biasa,masa sm yg ga sepaham pengennya nge Gas dn dikit dikit ngajak debat.pengen adu pintar ga gt caranya,edukasi dgn cara masing masing aja,slama itu tdk melanggar UU yo kan hrsnya ga mslh",78
human.x.alien,Kalau jenazah yg tertukar atau jenazah di perlakukan tidak benar mengapa tidak pernah di post??,49
nandariskipermana,saya percaya kopit tapi tdk dgn datanya !,50
axel_modra40,"""KONSPIRASI FE 101 TEBUKTI DAN BENAR PD TANGGAL SEKIAN2,KITA HANYA PUING ELITE GLOBAL""",37
nove_bernando,"Waktu itu pernah ada yg bilang juga di awal covid kasus pertama ""Covid-19 tidak semenakutkan yg diberitakan. Yg mengerikan itu justru DBD, Malaria,TBC di Indonesia tapi tak pernah di exspos"" seperti itu kira2. Tapi lupa siapa orangnya,karena lupa ss ig story nya juga. 😑😑",22
mobilaki_jkt,"Beliau dan sejahwatnya yang sejalan kayaknya hanya mengedukasi untuk jangan panik.. tetap jaga kesehatan, tetap 3M.. Dan fokus pada penanganan. Bukan untuk tidak perduli pada Covid. Begitu sih yang sy tangkap. 🙏",40
fajarcocosaputra,"Udeh ape dok jangan lu benturin begini di sosmed, mending DM, komunikasiin dengan baik ajak diskusi hasil baru dipublish. Kata imam asy syafii orang yg menasehatimu secara diam diam itulah sahabat. Kalo cuma nasehatin depan umum hanya ingin mempermalukan dirimu!",33
anwarhaling_,Ayoo kita rebut kembali wall maria #shinzouwosasageyo,22
sam.name20,"Lapor terus,kabeh kabeh mbok laporno,hapusen ae tattomu lek dadi tukang lapor😂,ngisin ngisini ae,ngunu jare uwong embongan😂,gak onok ceritane wong embong dadi tukang lapor😂,semangat pak simon @drslsimonspkk",33
rhienacarlo,@dr.tirta kenapa OTG klo sudh 14hari gak di sweb lagi dok?dri puskesmas bilang gitu,3
aris.sethya,Mungkin dokter @drslsimonspkk uda sadar bahwa virus ini gak se mematikan yang di gembor2kan media. Gitu aja kok repot cuk @dr.tirta,31
ghazali3047,"🤣🤣🤣.... Kasian mu dok @dr.tirta . Di jadikan pion depan. Untuk menangkis yg mengkritik prihal kegagalan penanganan Covid di +62. Kalau mau buka""n... Coba debat yg penemuan PCR sebenarnya alat itu di peruntukan untuk apa...?? Benar kah penggunaan nya dan sudah benar kah caranya men covidkan orang berdasarkan Sel atau virus yg mana ?? Dalam lendir manusia ada banyak sel dan itu orang awam gak faham hal itu termasuk saya. Bisa rincikan hal itu. Bener gak yg di kubur meninggal karna si Kopet dan di isolasi karna si Kopet nya. Bener"" si Kopet atau....🤣",38
rendyade_22,Sehat selalu @drslsimonspkk 🙏🙏 kami butuh orang2 seperti anda untuk menyeimbangkan berita untuk melawan virus ketakutan yg di beritakan media mainstream.,40
henri_supriyanto,"😅😅😅 statemen dr Simon lebih menguatkan imun dr pada statement"" mu dok @dr.tirta ....isinya GK pernah nakut nakutin....",35
wahyudhi_anugrah,Semua akan Dr. Samuel L.simon pada saatnya 😄,22
dr.muslimkasim,Mohon maaf selama komentar tidak disertai data2 bukti ilmiah yg jelas sumbernya & bisa dipantau+kritisi semua orang... maka itu namanya 'opini',13
muhichwan,Sombong amat jadi dokter @dr.tirta,17
muh_fachrizalll,Saya di barisan dr samuel aja,18
airlanggabobby,"Alhamdulillah dr tsb sdh sadar, semangaylt dok simon 🔥",17
danang_csa,esuk dele sore tempe.mbiyen ga digagas mbleyer.saiki dirangkul ngegas.balada ngarep dadi stafsus.weslah podo2 dokter ae podo ribut.beda pendapat yo wajar.negoro butuh masukan ora mung bisnis ae seng di oyak.iseh ono akerat seng perlu diperjuangke.,15
midnight.ark,Eh tirta lu kok jadi songong ya akhir2 ini,18
irwan_dekoppa,Ditonjok sama covid tu paru2 baru dehhh sadar banyak doa mintaa maaf.. aisssss...,3
rezzarin,Semoga di terima tantangan nya 🙏,5
_ninashaqina_,"Waspada harus tapi takut jangan , enaknya apa hidup dalam ketakutan terus menerus , hidup senormal mungkin tapi tetap menjaga kesehatan itu paling ok , yang ada sudah jaga diri super ketakutan eh tetep aja kena 🥴 .. dan saya setuju dengan @drslsimonspkk 😊",16
baiim_abdullah,raimu kui gowo2 uu ite ..tukang lapor,12
hisana_dyar,hidup dokter @drslsimonspkk matursuwun dokter ga ikut nakut2in... Bismillah kerjaan rame lg mo lebaran jgn lockdown2 lg rakyat butuh mangan.,12
alfiaan90s,"Udeh dok , enakan juga rebahan",11
tel.av1v,#DefinisiKacungWho,11
deandegil,"Beda pendapat itu biasa, musyawarah adalah hal untuk mufakat, ingin perdebatan utk melihat siapa yg menang dan kalah. Itu menunjukkan anda kurang dewasa",10
syahrul.haz,@drslsimonspkk aku nyakin dengan anda dok,6
thya_sadewa19,Percaya Dokter Simon,9
yjuantama,Sehat terus @drslsimonspkk dan kalian smua Amin 🙏,7
ilhamikaze,Panjang umur kebenaran dokter @drslsimonspkk,8
kartika_merdekawati,Jgn memuja ktika sefrekuensi..jgn menghujat ktika berbeda pendapat....ada baiknya orngtua di hormati terlepas dri apa gelar/senioritasnya,8
